번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
109,국제물류론,IT04,중,"FIATA FBL에 따라 복합운송인이 화물의 취급·보관 및 운송과정에서 필요에 따라 운송수단이나 운송경로를 선택하거나 변경할 수 있는 권한과 가장 직접적으로 관련된 약관은?",,"Delivery","Paramount Clause","Negotiability and Title to the Goods","Method and Route of Transportation","Liability of Servants and Other Persons",4,"Method and Route of Transportation은 복합운송인이 계약의 범위에서 화물의 취급·보관·운송에 필요한 운송수단과 경로 등을 선택하거나 변경할 수 있는 권한과 관련된 약관이다. Delivery는 화물의 인도, Paramount Clause는 적용법규, Negotiability and Title to the Goods는 증권의 유통성과 화물에 대한 권리와 관련된다."
110,국제물류론,IT04,중,"국제물류 보안제도에 관한 설명으로 가장 적절한 것은?",,"CSI는 미국으로 향하는 고위험 컨테이너화물을 선적 전에 해외항만에서 식별·검사할 수 있도록 하는 보안구상이다.","C-TPAT는 선박과 항만시설에 대한 국제보안기준을 정한 IMO의 강제협약이다.","ISPS Code는 미국 세관과 민간기업이 공급망 보안을 위해 운영하는 자발적 파트너십 프로그램이다.","24-Hour Rule은 미국으로 반입되는 모든 운송수단의 화물을 미국 도착 후 24시간 이내에 신고하도록 하는 제도이다.","AEO는 미국으로 수출되는 컨테이너에만 적용되는 미국 단독의 항만보안제도이다.",1,"CSI(Container Security Initiative)는 미국으로 향하는 고위험 컨테이너화물을 해외 선적항 단계에서 식별하고 필요한 검사를 실시하는 것을 목적으로 한다. C-TPAT는 미국 세관과 기업의 공급망 보안 파트너십이며 ISPS Code는 선박과 항만시설의 국제보안체계와 관련된다. 24-Hour Rule은 미국행 해상화물의 적하목록 정보를 선적 전에 제출하도록 하는 제도이다."
111,국제물류론,IT02,중,"무역회사가 1년 동안 여러 차례 해상화물을 선적할 예정이지만 보험계약을 체결하는 시점에는 각 선적에 사용될 선박이나 개별 화물의 세부사항이 모두 확정되어 있지 않다. 보험계약에서 일반적인 조건을 먼저 정하고 이후 선적이 이루어질 때마다 필요한 사항을 신고하는 방식과 가장 관련된 해상보험증권은?",,"Valued Policy","Floating Policy","Voyage Policy","Time Policy","Unvalued Policy",2,"Floating Policy는 보험계약 체결 시 보험의 일반적인 조건을 정해 두고 선박명이나 개별 선적사항 등의 세부내용을 이후의 신고를 통해 확정하는 형태의 보험증권이다. 반복적으로 화물을 선적하면서 계약 시점에 모든 세부사항을 특정하기 어려운 경우와 관련하여 이해할 수 있다."
112,국제물류론,IT01,중,"Incoterms® 2020에 관한 설명으로 가장 적절하지 않은 것은?",,"Incoterms® 규칙은 매도인과 매수인 사이의 물품 인도와 관련된 의무를 구분하는 데 활용된다.","Incoterms® 규칙은 당사자가 부담할 운송비 등 일정한 비용의 분담을 정하는 데 활용된다.","Incoterms® 규칙은 물품의 멸실 또는 훼손 위험이 매도인에서 매수인에게 이전되는 지점을 판단하는 데 활용된다.","Incoterms® 규칙은 당사자가 매매계약에 채택하여 사용하며 선택한 규칙은 계약조건의 일부로 기능할 수 있다.","Incoterms® 규칙을 선택하면 물품의 소유권 이전시기와 매매대금 미지급에 따른 법적 구제수단까지 자동으로 결정된다.",5,"Incoterms®는 물품의 인도, 비용부담 및 위험이전 등 매도인과 매수인의 주요 의무를 정형화한 거래규칙이다. 그러나 물품의 소유권 이전이나 계약위반에 대한 모든 구제수단까지 규정하는 완전한 매매계약은 아니다. 따라서 ⑤가 적절하지 않다."
113,국제물류론,IT01,상,"CISG상 매도인이 계약에 적합하지 않은 물품을 인도한 경우 매수인의 구제수단에 관한 설명으로 가장 적절하지 않은 것은?",,"계약위반의 내용과 요건에 따라 매도인에게 계약상 의무의 이행을 청구할 수 있다.","물품의 계약부적합이 본질적 계약위반에 해당하는 등 일정한 요건을 충족하면 대체물의 인도를 청구할 수 있다.","매도인이 자신의 비용으로 계약부적합을 보완하도록 요구할 수 있는 경우가 있다.","계약부적합이 존재하는 경우 일정한 요건에서 물품의 실제가치와 계약에 적합했을 경우의 가치 등을 고려하여 대금감액을 주장할 수 있다.","매수인이 대금감액을 선택하면 동일한 계약위반으로 발생한 추가 손해에 대해서는 CISG상 손해배상을 청구할 가능성이 배제된다.",5,"CISG에서는 계약부적합에 대해 이행청구, 일정한 요건에서의 대체물 인도나 하자보완, 대금감액, 계약해제 및 손해배상 등의 구제수단이 문제될 수 있다. 대금감액을 행사했다는 이유만으로 손해배상 가능성이 일률적으로 배제되는 것은 아니다. 따라서 ⑤가 적절하지 않다."
114,국제물류론,IT01,하,"Incoterms® 2020의 11개 규칙 가운데 해상운송 또는 내수로운송에만 사용하도록 구분된 조건으로만 구성된 것은?",,"FAS, FOB, CFR, CIF","FCA, FOB, CFR, CIF","FAS, CPT, CFR, CIP","FOB, CFR, CIP, DPU","EXW, FCA, FAS, FOB",1,"Incoterms® 2020에서 FAS, FOB, CFR, CIF는 해상 및 내수로운송에 사용되는 규칙이다. EXW, FCA, CPT, CIP, DAP, DPU, DDP는 운송수단에 관계없이 사용할 수 있는 규칙이므로 정답은 ①이다."
115,국제물류론,IT01,중,"다음 중 무역구제제도와 적용상황의 연결로 가장 적절한 것은?",,"반덤핑관세 - 외국 상품이 정상가격보다 낮은 가격으로 수입되어 국내산업에 피해를 발생시키는 경우에 대응할 수 있다.","상계관세 - 수입량이 급증하였다는 사실만으로 수출국의 보조금 여부와 관계없이 부과한다.","세이프가드 - 외국기업의 덤핑행위가 확인된 경우 덤핑마진만큼 부과하는 조치이다.","반덤핑관세 - 수출국 정부의 보조금으로 가격경쟁력이 높아진 상품에 대응하는 것을 주된 목적으로 한다.","상계관세 - 공정한 수입의 급증으로 발생한 국내산업 피해에 대응하기 위해 일시적으로 수입량을 제한하는 제도이다.",1,"반덤핑조치는 수출가격이 정상가격보다 낮은 덤핑수입으로 국내산업에 피해가 발생하는 경우와 관련된다. 상계관세는 수출국의 보조금으로 인한 피해에 대응하고 세이프가드는 불공정행위 여부와 별개로 수입 급증에 따른 심각한 피해 등에 대응하는 제도라는 점을 구별해야 한다."
116,국제물류론,IT01,하,"Incoterms® 2020이 직접적으로 규정하는 사항으로 가장 적절한 것은?",,"매매대금의 구체적인 결제통화와 지급기일","물품에 대한 소유권의 법적 이전시점","계약위반으로 발생하는 손해배상액의 산정방법","물품의 인도와 관련된 매도인·매수인의 비용부담 및 위험이전","매매계약에 적용할 법원의 관할권과 중재기관",4,"Incoterms®는 물품 인도와 관련하여 매도인과 매수인이 각각 수행해야 할 의무와 비용부담 및 위험이전 등을 규정한다. 소유권 이전, 대금지급 조건, 계약위반에 따른 구제 및 분쟁해결기관 등은 Incoterms® 자체가 직접 결정하는 사항이 아니다."
117,국제물류론,IT02,상,"Institute Cargo Clauses(C)에 의한 적하보험에서 일반적으로 담보되는 위험에 해당하는 것은?",,"포장작업의 불완전으로 발생한 통상적인 화물손상","보험목적물 고유의 성질로 발생한 자연적인 품질저하","선박의 좌초로 인해 발생한 보험목적물의 손해","운송과정에서 발생한 통상적인 중량감소","화주의 고의적인 행위로 발생한 손해",3,"ICC(C)는 열거위험 방식으로 비교적 제한된 위험을 담보한다. 대표적으로 화재·폭발, 선박 또는 부선의 좌초·교사·침몰·전복, 육상운송수단의 전복·탈선, 운송용구의 충돌 또는 접촉 등의 위험이 포함될 수 있다. 불충분한 포장, 고유의 하자나 성질에 따른 손해, 통상적인 중량감소 및 피보험자의 고의적 비행 등은 담보대상과 구별해야 한다."
118,국제물류론,IT01,상,"Incoterms® 2020의 CPT 조건으로 계약한 화물에 대해 매도인이 합의된 목적지까지의 운송계약을 체결하고 운송비를 지급하였다. 이때 물품의 멸실·훼손 위험이 원칙적으로 매수인에게 이전되는 시점으로 가장 적절한 것은?",,"물품이 매수인의 최종 창고에 도착한 때","목적지에서 물품이 운송수단으로부터 양하된 때","매도인이 계약된 운송인에게 물품을 인도한 때","매수인이 물품대금을 전액 지급한 때","수입통관이 완료되어 물품이 반출된 때",3,"CPT에서는 매도인이 합의된 목적지까지의 운송비를 부담하지만 위험이전 시점과 비용부담의 종료지점이 일치하지 않는다. 원칙적으로 매도인이 계약된 운송인에게 물품을 인도할 때 위험이 매수인에게 이전된다. 목적지까지 운송비를 매도인이 부담한다는 이유로 위험도 목적지에서 이전된다고 판단하지 않도록 주의해야 한다."
119,국제물류론,IT04,중,"국제공급망 보안제도에 관한 설명으로 가장 적절한 것은?",,"AEO는 세관당국이 법규준수도와 공급망 안전관리 역량 등을 심사하여 적격 경제주체를 공인하고 통관절차상 혜택 등을 부여할 수 있는 제도이다.","C-TPAT는 IMO가 선박과 항만시설의 보안강화를 위해 국제적으로 시행하는 강제적 보안규칙이다.","CSI는 각국 세관이 모든 수출입기업을 동일한 기준으로 공인하여 신속통관 혜택을 제공하는 국제상호인정제도이다.","ISPS Code는 미국 세관과 민간기업이 테러방지와 공급망 보안을 위해 운영하는 자발적 민관협력 프로그램이다.","24-Hour Rule은 미국행 해상화물의 적하목록 정보를 선박이 미국 항만에 도착한 후 24시간 이내에 제출하도록 하는 제도이다.",1,"AEO는 세관당국이 국제무역 공급망에 참여하는 경제주체의 법규준수도와 안전관리 역량 등을 심사하여 공인하고 일정한 통관상 혜택을 제공하는 제도이다. C-TPAT는 미국 세관과 기업의 공급망 보안 파트너십, CSI는 미국행 고위험 컨테이너화물의 해외 선적항 단계 보안검사와 관련되며, ISPS Code는 선박과 항만시설의 국제보안체계이다. 24-Hour Rule은 미국행 해상화물의 적하목록 정보를 선적 전에 제출하도록 하는 제도이다."
120,국제물류론,IT01,중,"관세법상 내국물품과 외국물품의 구분에 관한 설명으로 가장 적절한 것은?",,"외국에서 우리나라에 도착한 물품은 수입신고가 수리되기 전이라도 도착 즉시 내국물품이 된다.","우리나라에서 생산된 물품이라도 보세구역에 반입되면 원칙적으로 외국물품으로 전환된다.","외국으로부터 우리나라에 도착하여 수입신고가 수리되기 전의 물품은 외국물품에 해당할 수 있다.","외국물품은 반드시 외국에서 생산된 물품만을 의미하므로 우리나라에서 생산된 물품은 어떠한 경우에도 외국물품이 될 수 없다.","수입신고가 수리된 물품은 국내에 존재하는 동안 계속 외국물품으로 취급된다.",3,"외국으로부터 우리나라에 도착한 물품은 수입신고가 수리되기 전에는 외국물품에 해당하는 것이 기본적인 구분이다. 반대로 적법하게 수입신고가 수리된 물품은 내국물품으로 취급된다. 내국물품과 외국물품의 구분은 단순히 물품의 생산국만으로 결정되는 것이 아니라 관세법상 상태를 기준으로 판단해야 한다."
